country_code,latitude,longitude,Country,ISO3,ISO2,Unit,Year,Temp(C),Carbon stocks in forests,Forest area,Index of carbon stocks in forests,Index of forest extent,Land area,Share of forest area
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2001,,1.1863,9.383,94.0388426476417,94.0368811385047,44.0,21.325
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2002,0.634,1.1778,9.316,93.3650416171225,93.3654038885548,44.0,21.1727272727273
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2003,0.783,1.1694,9.249,92.6991676575505,92.6939266386049,44.0,21.0204545454545
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2004,0.501,1.1609,9.182,92.0253666270313,92.022449388655,44.0,20.8681818181818
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2005,0.843,1.1524,9.115,91.3515655965121,91.3509721387052,44.0,20.7159090909091
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2006,0.659,1.1439,9.048,90.6777645659929,90.6794948887553,44.0,20.5636363636364
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2007,0.934,1.1355,8.981,90.0118906064209,90.0080176388054,44.0,20.4113636363636
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2008,0.394,1.127,8.914,89.3380895759017,89.3365403888555,44.0,20.2590909090909
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2009,0.498,1.1185,8.847,88.6642885453825,88.6650631389056,44.0,20.1068181818182
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2010,1.153,1.1101,8.78,87.9984145858106,87.9935858889557,44.0,19.9545454545455
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2011,0.586,1.1017,8.714,87.3325406262386,87.3321306875125,44.0,19.8045454545455
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2012,0.696,1.0934,8.648,86.6745937376139,86.6706754860693,44.0,19.6545454545455
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2013,0.783,1.085,8.582,86.008719778042,86.0092202846262,44.0,19.5045454545455
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2014,0.744,1.0767,8.516,85.3507728894174,85.347765083183,44.0,19.3545454545455
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2015,1.035,1.0683,8.45,84.6848989298454,84.6863098817398,44.0,19.2045454545455
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2016,1.097,1.0595,8.38,83.9873166864843,83.9847664862698,44.0,19.0454545454545
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2017,0.958,1.0519,8.32,83.3848592944907,83.3834435758669,44.0,18.9090909090909
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2018,0.627,1.043,8.25,82.6793499801823,82.6819001803969,44.0,18.75
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2019,0.797,1.0342,8.18,81.9817677368212,81.9803567849268,44.0,18.5909090909091
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2020,1.131,1.0266,8.12,81.3793103448276,81.3790338745239,44.0,18.4545454545455
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1992,0.365,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1993,0.535,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1994,0.575,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1995,0.651,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1996,0.35,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1997,0.459,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1998,1.06,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1999,0.532,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2000,0.264,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2001,0.587,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2002,0.706,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2003,0.816,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2004,0.521,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2005,0.828,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2006,0.691,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2007,0.957,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2008,0.411,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2009,0.566,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2010,1.09,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2011,0.489,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2012,0.64,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2013,0.77,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2014,0.814,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2015,1.051,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2016,1.125,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2017,0.96,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2018,0.664,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2019,0.843,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2020,1.224,0.6954,5.5,100.0,100.0,9.0,61.1111111111111
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1992,0.106,,784.9,,100.0,2740.0,28.6459854014599
