ObjectId,Country,Unit,Amount,year
186,World,Percent,0.59,1966
187,World,Parts Per Million,323.75,1966
188,World,Percent,0.58,1966
189,World,Parts Per Million,322.38,1966
190,World,Percent,0.36,1966
191,World,Parts Per Million,320.36,1966
192,World,Percent,0.47,1966
193,World,Parts Per Million,318.64,1966
194,World,Percent,0.26,1966
195,World,Parts Per Million,318.1,1966
196,World,Percent,0.25,1966
197,World,Parts Per Million,319.78,1966
198,World,Percent,0.29,1966
199,World,Parts Per Million,321.03,1966
200,World,Percent,0.5,1966
201,World,Parts Per Million,322.33,1967
202,World,Percent,0.53,1967
203,World,Parts Per Million,322.5,1967
204,World,Percent,0.28,1967
205,World,Parts Per Million,323.04,1967
206,World,Percent,0.2,1967
207,World,Parts Per Million,324.42,1967
208,World,Percent,0.22,1967
209,World,Parts Per Million,325.0,1967
210,World,Percent,0.28,1967
211,World,Parts Per Million,324.09,1967
212,World,Percent,0.11,1967
213,World,Parts Per Million,322.54,1967
214,World,Percent,0.05,1967
215,World,Parts Per Million,320.92,1967
216,World,Percent,0.17,1967
217,World,Parts Per Million,319.25,1967
218,World,Percent,0.19,1967
219,World,Parts Per Million,319.39,1967
220,World,Percent,0.41,1967
221,World,Parts Per Million,320.73,1967
222,World,Percent,0.3,1967
223,World,Parts Per Million,321.96,1967
224,World,Percent,0.29,1967
225,World,Parts Per Million,322.57,1968
226,World,Percent,0.07,1968
227,World,Parts Per Million,323.15,1968
228,World,Percent,0.2,1968
229,World,Parts Per Million,323.89,1968
230,World,Percent,0.26,1968
231,World,Parts Per Million,325.02,1968
232,World,Percent,0.18,1968
233,World,Parts Per Million,325.57,1968
234,World,Percent,0.18,1968
235,World,Parts Per Million,325.36,1968
236,World,Percent,0.39,1968
237,World,Parts Per Million,324.14,1968
238,World,Percent,0.5,1968
239,World,Parts Per Million,322.11,1968
240,World,Percent,0.37,1968
241,World,Parts Per Million,320.33,1968
242,World,Percent,0.34,1968
243,World,Parts Per Million,320.25,1968
244,World,Percent,0.27,1968
245,World,Parts Per Million,321.32,1968
246,World,Percent,0.18,1968
247,World,Parts Per Million,322.89,1968
248,World,Percent,0.29,1968
249,World,Parts Per Million,324.0,1969
250,World,Percent,0.44,1969
251,World,Parts Per Million,324.42,1969
252,World,Percent,0.39,1969
253,World,Parts Per Million,325.63,1969
254,World,Percent,0.54,1969
255,World,Parts Per Million,326.66,1969
256,World,Percent,0.5,1969
257,World,Parts Per Million,327.38,1969
258,World,Percent,0.56,1969
259,World,Parts Per Million,326.71,1969
260,World,Percent,0.41,1969
261,World,Parts Per Million,325.88,1969
262,World,Percent,0.54,1969
263,World,Parts Per Million,323.66,1969
264,World,Percent,0.48,1969
265,World,Parts Per Million,322.38,1969
266,World,Percent,0.64,1969
267,World,Parts Per Million,321.78,1969
268,World,Percent,0.48,1969
269,World,Parts Per Million,322.86,1969
270,World,Percent,0.48,1969
271,World,Parts Per Million,324.12,1969
272,World,Percent,0.38,1969
273,World,Parts Per Million,325.06,1970
274,World,Percent,0.33,1970
275,World,Parts Per Million,325.98,1970
276,World,Percent,0.48,1970
277,World,Parts Per Million,326.93,1970
278,World,Percent,0.4,1970
279,World,Parts Per Million,328.13,1970
280,World,Percent,0.45,1970
281,World,Parts Per Million,328.08,1970
282,World,Percent,0.21,1970
283,World,Parts Per Million,327.67,1970
284,World,Percent,0.29,1970
285,World,Parts Per Million,326.34,1970
286,World,Percent,0.14,1970
287,World,Parts Per Million,324.69,1970
288,World,Percent,0.32,1970
289,World,Parts Per Million,323.1,1970
290,World,Percent,0.22,1970
291,World,Parts Per Million,323.06,1970
292,World,Percent,0.4,1970
293,World,Parts Per Million,324.01,1970
294,World,Percent,0.36,1970
295,World,Parts Per Million,325.13,1970
296,World,Percent,0.31,1970
297,World,Parts Per Million,326.17,1971
298,World,Percent,0.34,1971
299,World,Parts Per Million,326.68,1971
300,World,Percent,0.21,1971
301,World,Parts Per Million,327.17,1971
302,World,Percent,0.07,1971
303,World,Parts Per Million,327.79,1971
304,World,Percent,-0.1,1971
305,World,Parts Per Million,328.93,1971
306,World,Percent,0.26,1971
307,World,Parts Per Million,328.57,1971
308,World,Percent,0.27,1971
309,World,Parts Per Million,327.36,1971
310,World,Percent,0.31,1971
311,World,Parts Per Million,325.43,1971
312,World,Percent,0.23,1971
313,World,Parts Per Million,323.36,1971
314,World,Percent,0.08,1971
315,World,Parts Per Million,323.56,1971
316,World,Percent,0.15,1971
317,World,Parts Per Million,324.8,1971
318,World,Percent,0.24,1971
319,World,Parts Per Million,326.01,1971
320,World,Percent,0.27,1971
321,World,Parts Per Million,326.77,1972
322,World,Percent,0.18,1972
323,World,Parts Per Million,327.63,1972
324,World,Percent,0.29,1972
325,World,Parts Per Million,327.75,1972
326,World,Percent,0.18,1972
327,World,Parts Per Million,329.72,1972
328,World,Percent,0.59,1972
329,World,Parts Per Million,330.07,1972
330,World,Percent,0.35,1972
331,World,Parts Per Million,329.09,1972
332,World,Percent,0.16,1972
333,World,Parts Per Million,328.04,1972
334,World,Percent,0.21,1972
335,World,Parts Per Million,326.32,1972
336,World,Percent,0.27,1972
337,World,Parts Per Million,324.84,1972
338,World,Percent,0.46,1972
