ObjectId,Country,Unit,Measure,Amount,Year
128,World,Millimeters,Adriatic Sea,-85.81,1993
129,World,Millimeters,Andaman Sea,-158.54,1993
130,World,Millimeters,Arabian Sea,-4.06,1993
131,World,Millimeters,Atlantic Ocean,-23.01,1993
132,World,Millimeters,Bay Bengal,-41.63,1993
133,World,Millimeters,Bering Sea,-7.45,1993
134,World,Millimeters,Gulf Mexico,-18.65,1993
135,World,Millimeters,Indian Ocean,-19.73,1993
136,World,Millimeters,Indonesian,24.81,1993
137,World,Millimeters,Mediterranean,-66.28,1993
138,World,Millimeters,Nino,-18.03,1993
139,World,Millimeters,North Atlantic,-35.73,1993
140,World,Millimeters,North Pacific,-82.41,1993
141,World,Millimeters,Pacific Ocean,-35.68,1993
142,World,Millimeters,Persian Gulf,-31.37,1993
143,World,Millimeters,Sea Japan,-137.05,1993
144,World,Millimeters,Sea Okhotsk,-37.39,1993
145,World,Millimeters,South China,-17.7,1993
146,World,Millimeters,Southern Ocean,-14.03,1993
147,World,Millimeters,Tropics,-29.44,1993
148,World,Millimeters,World,-29.05,1993
149,World,Millimeters,Yellow Sea,-146.51,1993
150,World,Millimeters,Caribbean Sea,-35.38,1993
151,World,Millimeters,Arabian Sea,8.44,1993
152,World,Millimeters,Baltic Sea,317.05,1993
153,World,Millimeters,Bay Bengal,-55.83,1993
154,World,Millimeters,Caribbean Sea,-35.18,1993
155,World,Millimeters,Indian Ocean,-14.23,1993
156,World,Millimeters,Mediterranean,-157.88,1993
157,World,Millimeters,North Sea,48.81,1993
158,World,Millimeters,Pacific Ocean,-29.78,1993
159,World,Millimeters,Sea Okhotsk,-15.59,1993
160,World,Millimeters,South China,-72.9,1993
161,World,Millimeters,Andaman Sea,-190.64,1993
162,World,Millimeters,Atlantic Ocean,-25.61,1993
163,World,Millimeters,Bering Sea,-3.85,1993
164,World,Millimeters,Gulf Mexico,-46.55,1993
165,World,Millimeters,Indonesian,9.11,1993
166,World,Millimeters,Nino,-20.83,1993
167,World,Millimeters,North Atlantic,-37.73,1993
168,World,Millimeters,North Pacific,-63.81,1993
169,World,Millimeters,Persian Gulf,-100.57,1993
170,World,Millimeters,Sea Japan,-122.05,1993
171,World,Millimeters,Southern Ocean,-8.63,1993
172,World,Millimeters,Tropics,-30.44,1993
173,World,Millimeters,World,-27.35,1993
174,World,Millimeters,Yellow Sea,-105.01,1993
175,World,Millimeters,Adriatic Sea,-188.61,1993
176,World,Millimeters,North Sea,6.31,1993
177,World,Millimeters,South China,-70.6,1993
178,World,Millimeters,Arabian Sea,24.14,1993
179,World,Millimeters,Atlantic Ocean,-24.61,1993
180,World,Millimeters,Baltic Sea,184.75,1993
181,World,Millimeters,Bay Bengal,-56.63,1993
182,World,Millimeters,Bering Sea,-17.05,1993
183,World,Millimeters,Gulf Mexico,-27.65,1993
184,World,Millimeters,Indian Ocean,-3.53,1993
185,World,Millimeters,Indonesian,5.01,1993
186,World,Millimeters,Mediterranean,-134.68,1993
187,World,Millimeters,Nino,-16.83,1993
188,World,Millimeters,North Atlantic,-51.83,1993
189,World,Millimeters,North Pacific,-57.61,1993
190,World,Millimeters,Pacific Ocean,-23.28,1993
191,World,Millimeters,Persian Gulf,-70.07,1993
192,World,Millimeters,Sea Japan,-73.75,1993
193,World,Millimeters,Sea Okhotsk,6.71,1993
194,World,Millimeters,Southern Ocean,0.97,1993
195,World,Millimeters,Tropics,-23.04,1993
196,World,Millimeters,World,-21.55,1993
197,World,Millimeters,Yellow Sea,-133.31,1993
198,World,Millimeters,Adriatic Sea,-127.81,1993
199,World,Millimeters,Andaman Sea,-158.54,1993
200,World,Millimeters,Caribbean Sea,-40.38,1993
201,World,Millimeters,Baltic Sea,3.25,1993
202,World,Millimeters,North Sea,-116.99,1993
203,World,Millimeters,Sea Okhotsk,-14.29,1993
204,World,Millimeters,Andaman Sea,-171.44,1993
205,World,Millimeters,Arabian Sea,26.34,1993
206,World,Millimeters,Atlantic Ocean,-23.71,1993
207,World,Millimeters,Bay Bengal,-42.13,1993
208,World,Millimeters,Bering Sea,-13.05,1993
209,World,Millimeters,Caribbean Sea,-55.98,1993
210,World,Millimeters,Gulf Mexico,-60.45,1993
211,World,Millimeters,Indian Ocean,-7.53,1993
212,World,Millimeters,Indonesian,-29.69,1993
213,World,Millimeters,Mediterranean,-57.58,1993
214,World,Millimeters,Nino,-8.13,1993
215,World,Millimeters,North Atlantic,-59.73,1993
216,World,Millimeters,North Pacific,-43.21,1993
217,World,Millimeters,Pacific Ocean,-16.48,1993
218,World,Millimeters,Persian Gulf,14.03,1993
219,World,Millimeters,Sea Japan,-84.35,1993
220,World,Millimeters,South China,-29.9,1993
221,World,Millimeters,Southern Ocean,-0.13,1993
222,World,Millimeters,Tropics,-18.64,1993
223,World,Millimeters,World,-18.65,1993
224,World,Millimeters,Adriatic Sea,-58.21,1993
225,World,Millimeters,Yellow Sea,-106.91,1993
226,World,Millimeters,Baltic Sea,-122.15,1993
227,World,Millimeters,North Sea,36.31,1993
228,World,Millimeters,Andaman Sea,-104.04,1993
229,World,Millimeters,Arabian Sea,41.84,1993
230,World,Millimeters,Atlantic Ocean,-21.61,1993
231,World,Millimeters,Bay Bengal,-49.13,1993
232,World,Millimeters,Bering Sea,-10.45,1993
233,World,Millimeters,Caribbean Sea,-47.98,1993
234,World,Millimeters,Gulf Mexico,-91.45,1993
235,World,Millimeters,Indian Ocean,-4.83,1993
236,World,Millimeters,Indonesian,-30.29,1993
237,World,Millimeters,Mediterranean,-74.28,1993
238,World,Millimeters,Nino,-7.23,1993
239,World,Millimeters,North Atlantic,-55.13,1993
240,World,Millimeters,North Pacific,-53.81,1993
241,World,Millimeters,Pacific Ocean,-19.68,1993
242,World,Millimeters,Persian Gulf,-37.97,1993
243,World,Millimeters,Sea Japan,-57.05,1993
244,World,Millimeters,Sea Okhotsk,24.31,1993
245,World,Millimeters,South China,-66.9,1993
246,World,Millimeters,Southern Ocean,2.17,1993
247,World,Millimeters,Tropics,-19.54,1993
248,World,Millimeters,World,-19.15,1993
249,World,Millimeters,Yellow Sea,-48.81,1993
250,World,Millimeters,Adriatic Sea,-121.01,1993
251,World,Millimeters,Baltic Sea,142.65,1993
252,World,Millimeters,Bay Bengal,-54.73,1993
253,World,Millimeters,North Sea,28.51,1993
254,World,Millimeters,South China,-56.5,1993
255,World,Millimeters,Andaman Sea,-114.84,1993
256,World,Millimeters,Arabian Sea,26.84,1993
257,World,Millimeters,Atlantic Ocean,-34.21,1993
258,World,Millimeters,Bering Sea,-29.35,1993
259,World,Millimeters,Caribbean Sea,-66.18,1993
260,World,Millimeters,Gulf Mexico,-77.25,1993
261,World,Millimeters,Indian Ocean,-15.83,1993
262,World,Millimeters,Indonesian,-34.59,1993
263,World,Millimeters,Mediterranean,-133.98,1993
