country_code,latitude,longitude,Country,ISO3,ISO2,Unit,Year,Temp(C)
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1968,-0.225
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1969,0.271
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1970,0.109
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1971,-0.233
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1972,-0.214
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1973,0.164
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1974,-0.377
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1975,-0.419
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1976,-0.467
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1977,0.076
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1978,0.161
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1979,0.16
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1980,0.646
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1981,0.564
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1982,0.162
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1983,0.489
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1984,0.009
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1985,-0.051
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1986,-0.023
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1987,0.649
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1988,0.395
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1989,-0.077
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1990,0.417
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1991,0.459
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1992,0.445
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1993,0.528
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1994,0.493
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1995,0.677
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1996,0.377
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1997,0.455
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1998,1.046
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F1999,0.541
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2000,0.335
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2001,
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2002,0.634
