country_code,latitude,longitude,Country,ISO3,ISO2,Unit,Year,Temp(C),Carbon stocks in forests,Forest area,Index of carbon stocks in forests,Index of forest extent,Land area,Share of forest area
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2004,0.501,1.1609,9.182,92.02536663,92.02244939,44,20.86818182
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2005,0.843,1.1524,9.115,91.3515656,91.35097214,44,20.71590909
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2006,0.659,1.1439,9.048,90.67776457,90.67949489,44,20.56363636
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2007,0.934,1.1355,8.981,90.01189061,90.00801764,44,20.41136364
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2008,0.394,1.127,8.914,89.33808958,89.33654039,44,20.25909091
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2009,0.498,1.1185,8.847,88.66428855,88.66506314,44,20.10681818
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2010,1.153,1.1101,8.78,87.99841459,87.99358589,44,19.95454545
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2011,0.586,1.1017,8.714,87.33254063,87.33213069,44,19.80454545
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2012,0.696,1.0934,8.648,86.67459374,86.67067549,44,19.65454545
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2013,0.783,1.085,8.582,86.00871978,86.00922028,44,19.50454545
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2014,0.744,1.0767,8.516,85.35077289,85.34776508,44,19.35454545
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2015,1.035,1.0683,8.45,84.68489893,84.68630988,44,19.20454545
